,index,artist,id,album_id,genres,genre
1927,43735,Gloriana,5izad6fIsZp6Jrdfz2FRhM,3Z7244VecGKyMvTecZSfOo,NA,"contemporary country, country, country dawn, country pop, country road, modern country rock"
1928,43747,Melody Gardot,0VVehdkNqe5usT0Zk72sdA,2iKiVmx8ohPDn1hJmxC9tD,NA,"adult standards, christmas, lounge, neo soul, soul, vocal jazz"
1929,43767,Lifehouse,4yi9FASm3zVFRZzC9QemhX,1QBMtVORr6SR41mEkzZaiu,NA,"alternative metal, neo mellow, pop rock, post-grunge"
1930,43789,Sheppard,19cL3SOKpwnwoKkII7U3Wh,2Yi29VOccHCwktsZNqtxbt,NA,"australian indie, australian pop"
1931,43801,Bette Midler,0yb8tf9rE89SLlJAnqUIe8,6DvByGuhrslFePyAzIRO9m,NA,"adult standards, mellow gold, new wave pop, soft rock"
1932,43816,Armored Saint,5tVnMxMP1UJmN93zTJ1o7E,3KQ5HzQZjFbylEaGdyKKFX,NA,"groove metal, hard rock, metal, neo-trad metal, nwobhm, nwothm, speed metal, thrash metal"
1933,43825,I The Mighty,3eoRh1MUuJ13Jl5timmIce,2YSDaxZL88egJamEvmSKVQ,NA,"bay area indie, post-screamo, progressive post-hardcore, rawstyle, screamo"
1934,43863,Dizzy Wright,0xwDBz5S9Qw7vpzy3O3Q7f,63rOy6j0XQllR969ZMDQEm,NA,"conscious hip hop, deep underground hip hop, hip hop, indie pop rap, pop rap, rap, southern hip hop, trap music, underground hip hop"
1935,43879,Allen Stone,2zdi41rvF5Sd7IxhJW5z0O,1SBGek5GZHxnPc31z5xXoC,NA,retro soul
1936,43900,Brandon Flowers,54zDQVvekqrzWfOeNfLPtK,0yCqicy5tGkPiB6gUZCRy4,NA,"modern rock, vegas indie"
1937,43919,Jon Foreman,1NJW05vDKC4VliiNBREIMt,49Eo55nBMdJ8W0N3rHOcH4,NA,"acoustic pop, anthem worship, ccm, christian alternative rock, christian music, christian uplift, indiecoustica, worship"
1938,43937,Bill Withers,7kWaNdfYcumoC1cgFmhkSo,0XmgSYx9bj4sqpcXVgKs2C,NA,"classic soul, funk, motown, neo soul, quiet storm, soul"
1939,43955,Ciara,2rwMCcDl8p9UpwAA909aXD,1vxEYHEzZI2l1AyZOtVHKJ,NA,"dance pop, hip hop, hip pop, pop, pop rap, post-teen pop, r&b, rap, urban contemporary"
1940,43971,Junkie XL,2swNqOr0IIINPHTdQZ2UGT,3P0IdfR7f64xcXtWjbkEVe,NA,"big beat, electronic, soundtrack"
1941,43988,Tiesto,47nkK89Vel3CMp8x5apv5D,57bABnvvPfNhBQRI70dqlU,NA,"big room, deep big room, edm, electro house, house, pop edm, progressive electro house, progressive house, tropical house, deep big room"
1942,44006,Tina Campbell,5uAMNGSKlvNFQ7JN5Ct48T,3aOlgH0z2stw6vAMuzkB6P,NA,
1943,44021,Snarky Puppy & Metropole Orkest,6AAyI2LASfk7ptHw4xrG0O,5hptBuBwjb6Z11tV5bM9Oa,NA,"contemporary jazz, jazz funk, jazz fusion"
1944,44027,My Morning Jacket,2pLrESCcvzyTkLBruZWceb,42Je16rAv5ZaPTP5MY4y4V,NA,"alternative country, alternative rock, folk-pop, funk, garage rock, indie folk, indie pop, indie rock, jam band, melancholia, modern rock, new americana, roots rock, stomp and holler"
1945,44070,Romeo Santos,5yr5jzoS8hsAY4rA9dqW7q,17HsiXfqKUPoTP6Y5ebs1L,NA,"bachata, latin, tropical"
1946,44105,Pharrell Williams,1AvXB7pTYb7irnDLRfE27H,2lkQd5T32QHDOfFkEIPJKz,NA,"dance pop, pop, pop rap"
1947,44127,Meghan Linsey,75k1Xj8TZd99SJnXn5JLNN,6hi0ymckxMtYyfr6evKwb9,NA,deep talent show
1948,44141,Joshua Davis,0Nv2oGhDGjpEfiLcidW2JS,6MppBBhapzHLawPrAnVVxx,NA,"michigan folk, michigan indie"
1949,44167,Sammy Hagar & The Circle,7BzThlTPx6EajNZgC4l87i,4ZCysWtTElJ2h361e3cIOW,NA,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, metal, rock, soft rock, southern rock"
1950,44186,Coal Chamber,2KaRaFEnrRvMnfSCrRWJha,0VZ5HAr19cR6qSOvaXmSE8,NA,"alternative metal, groove metal, industrial, industrial metal, industrial rock, latin metal, nu metal, post-grunge, rap metal, rap rock"
1951,44199,Koryn Hawthorne,3e7GfL5nSrM7tYnsHvU4WW,6tPsIi1zgOBcaTiEDESBBp,NA,gospel r&b
1952,44213,Whitesnake,3G3WycS7C0j5qE5O9gS6X5,4pqeE1SpGBJcNNpjcBacV2,NA,"album rock, british blues, classic rock, glam metal, hard rock, metal, rock"
1953,44228,Murs,1ctiQFUa6sWFzpZcmaI1ig,72ZovczwuVo8LSFFRNcdTY,NA,"abstract hip hop, alternative hip hop, hip hop, underground rap"
1954,44242,Hot Chip,24OUTJgZif1CA1nemnDgXn,1ID4yRgxYUutcLKzYDcln4,NA,"alternative dance, art pop, chillwave, dance-punk, electronic, electropop, indie pop, indie rock, indietronica, modern rock, neo-synthpop, new rave, trip hop"
1955,44260,Haste The Day,1jKuMpy889BLpAzOyF9BGT,4MmDb4tNta30zuY6iJzZdW,NA,"christian hardcore, christian metal, christian rock, melodic metalcore, metalcore, screamo"
1956,44275,Alina Baraz & Galimatias,5DWlblna0iBMpTvo5cXzdK,1MDXXd7ea47KCYOfHww6En,NA,"alternative r&b, electropop, etherpop, pop, r&b, chillstep, vapor twitch"
1957,44283,"Chunk! No, Captain Chunk!",4KuwjTOfniivWFKJz3p1yW,5jAkJlpRcL7CGmBcApdNjW,NA,"anthem emo, easycore, metalcore, pop punk, post-screamo, screamo"
1958,44376,B.B. King,6E8jqiKej8Tv37A4s95R8b,7njGz7ZeDXL6cH3VnflcQ2,NA,"blues, blues-rock, classic rock, electric blues, jazz blues, soul blues, traditional blues"
1959,44398,The Tallest Man On Earth,34AZLjwtfHA1ALKCYpIwDJ,0xslWXhRXD9yYL8ZV5n41r,NA,"chamber pop, folk-pop, indie folk, indie pop, indie rock, new americana, stomp and holler, swedish americana, swedish singer-songwriter"
1960,44408,Hinder,5DOkgpmpvu3VgtoxBFf5I6,0Hyl6bhLqtLtt5WsAHdbaD,NA,"alternative metal, nu metal, pop rock, post-grunge, rap rock"
1961,44418,Emmylou Harris & Rodney Crowell,5OHTqUeUeV09qhqszxS541,2lyBmILucpN3Wxy1Cna2Ch,NA,"alternative country, country rock, folk, folk rock, folk-pop, lilith, melancholia, mellow gold, nashville sound, outlaw country, red dirt, roots rock, singer-songwriter, traditional country, traditional folk, alternative country, country rock, folk, heartland rock, new americana, outlaw country, pub rock, roots rock, singer-songwriter, southern rock, texas country, traditional country, traditional folk"
1962,44473,Sufjan Stevens,4fpEuKIzTLmMJnYwFU0oqr,0U8DeqqKDgIhIiWOdqiQXE,NA,"chamber pop, folk-pop, freak folk, indie folk, indie pop, indie rock, modern rock, singer-songwriter, stomp and holler"
1963,44484,Ludacris,4qIHn6ZixE2YgFIJvALU85,1nlrqrQvdjMd8N4IqwaApw,NA,"atl hip hop, dance pop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap music"
1964,44498,Surfer Blood,6JCcu0QcoAE86fBJQ2VugX,4xLNj3xm6eH8HbsBM7qufT,NA,"chillwave, indie pop, indie rock, indie surf, indietronica, lo-fi, modern rock, noise pop, nu gaze"
1965,44579,Best Coast,0pufbBQTb9Voh9ZtpCpYLH,3lobKWYjPRZWL6gFLKYE4P,NA,"chillwave, dream pop, folk-pop, indie pop, indie psych-rock, indie rock, indie surf, indietronica, la indie, metropopolis, modern rock, new rave, noise pop, nu gaze"
1966,44591,Audio Adrenaline,0lDsHE5uSVeLy63gl0enkq,53eduXsPVY79Z5gtD7ygCI,NA,"ccm, christian alternative rock, christian music, christian punk, christian rock, worship"
1967,44638,Plumb,5WxJ8uzRJGpfYzE4aLXROF,1QCZEb14fJKaj1NwiOde33,NA,"ccm, christian alternative rock, christian music, christian rock, worship"
1968,44650,Alejandro Sanz,6ET2wJuNUZMhZNwdcI2eLC,3yLDXQ4DGUeDmaWxQTdbhc,NA,"cantautor, latin, latin arena pop, latin pop, mexican pop, rock en espanol, spanish pop, tropical"
