,artist,trap,hip hop,indie,punk,rap,jazz,pop,metal,country,folk,bluegrass,house,rock,opera,classical,instrumental,funk,broadway,genre
5073,Sawyer Brown,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"contemporary country, country, country gospel, country road, country rock, traditional country"
5074,The Wilkinsons,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"canadian country, country"
5075,Anointed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"modern reggae, riddim, soca"
5076,Eagle-Eye Cherry,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,pop rock
5077,Mo B. Dick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,new orleans rap
5078,James Ingram,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"adult standards, quiet storm, soft rock, urban contemporary"
5079,Black Moon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, turntablism"
5080,Spice Girls,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"australian pop, dance pop, europop, girl group, pop, pop rock"
5081,Monifah,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hip pop, new jack swing, r&b, urban contemporary"
5082,4Him,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"christian alternative rock, christian music, deep christian rock, worship"
5083,Mac Mall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"cali rap, g funk, gangster rap, hyphy, west coast rap, west coast trap"
5084,Tevin Campbell,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dance pop, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
5085,The Flys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,post-grunge
