"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"54","A Little Too Late","Toby Keith",2006-06-03,93,15,0.148,0.416,247180,0.737,0.0002581,11,0.127,-6.11,1,0.0478,201.79,4,0.624,6,"Summer",8
"55","A Little Too Much","Shawn Mendes",2015-02-21,94,1,0.473,0.553,187027,0.507,0,11,0.108,-6.24,1,0.0304,83.093,4,0.57,2,"Winter",2
"56","A Lonely Night","The Weeknd",2016-12-17,69,1,0.043,0.853,220173,0.663,8.65e-06,7,0.089,-6.955,0,0.0755,113.999,4,0.864,12,"Winter",11
"57","A Long Walk","Jill Scott",2001-02-10,78,19,0.07,0.667,280973,0.565,8.75e-05,6,0.112,-9.452,0,0.316,76.165,4,0.281,2,"Winter",0
"58","A Man Who Was Gonna Die Young","Eric Church",2014-02-15,89,1,0.951,0.498,193787,0.097,0,11,0.105,-16.482,1,0.0435,144.077,4,0.39,2,"Winter",7
"59","A Milli","Lil Wayne",2008-05-10,60,23,0.053,0.679,221840,0.684,0.000895,6,0.177,-8.559,1,0.278,151.748,4,0.755,5,"Spring",1
"60","A Moment Like This","Kelly Clarkson",2002-09-21,60,20,0.162,0.436,228633,0.57,0,8,0.116,-3.906,1,0.0309,109.115,4,0.149,9,"Fall",0
"61","A New Day Has Come","Celine Dion",2002-03-02,73,20,0.722,0.436,341800,0.333,9.61e-06,6,0.187,-9.869,1,0.0354,119.483,3,0.061,3,"Spring",0
"62","A Public Affair","Jessica Simpson",2006-07-15,39,12,0.005,0.735,201467,0.86,0.000192,11,0.404,-3.878,0,0.0339,124.052,4,0.835,7,"Summer",2
"63","A Thousand Miles","Vanessa Carlton",2002-03-02,80,41,0.323,0.56,237493,0.825,0,11,0.161,-3.862,1,0.0379,94.931,4,0.268,3,"Spring",0
"64","A Woman Like You","Lee Brice",2011-12-31,96,20,0.245,0.592,209787,0.584,0,7,0.086,-7.422,1,0.0305,160.048,4,0.371,12,"Winter",1
